saledate,MA,type,bedrooms
30-Sep-07,441854,house,2
31-Dec-07,441854,house,2
31-Mar-08,441854,house,2
30-Jun-08,441854,house,2
30-Sep-08,451583,house,2
31-Dec-08,440256,house,2
31-Mar-09,442566,house,2
30-Jun-09,446113,house,2
30-Sep-09,440123,house,2
31-Dec-09,442131,house,2
31-Mar-10,459222,house,2
30-Jun-10,456822,house,2
30-Sep-10,457806,house,2
31-Dec-10,459109,house,2
31-Mar-11,460758,house,2
30-Jun-11,464788,house,2
30-Sep-11,467546,house,2
31-Dec-11,470333,house,2
31-Mar-12,470365,house,2
30-Jun-12,469149,house,2
30-Sep-12,465919,house,2
31-Dec-12,463090,house,2
31-Mar-13,451077,house,2
30-Jun-13,451516,house,2
30-Sep-13,454270,house,2
31-Dec-13,456548,house,2
31-Mar-14,469920,house,2
30-Jun-14,472726,house,2
30-Sep-14,475326,house,2
31-Dec-14,478413,house,2
31-Mar-15,478398,house,2
30-Jun-15,477238,house,2
30-Sep-15,477330,house,2
31-Dec-15,479010,house,2
31-Mar-16,482440,house,2
30-Jun-16,486436,house,2
30-Sep-16,489104,house,2
31-Dec-16,491152,house,2
31-Mar-17,494544,house,2
30-Jun-17,498846,house,2
30-Sep-17,504592,house,2
31-Dec-17,506578,house,2
31-Mar-18,507248,house,2
30-Jun-18,506116,house,2
30-Sep-18,504318,house,2
31-Dec-18,506001,house,2
31-Mar-19,496133,house,2
30-Jun-19,500158,house,2
30-Sep-19,510712,house,2
31-Mar-07,421291,house,3
30-Jun-07,421291,house,3
30-Sep-07,421291,house,3
31-Dec-07,421291,house,3
31-Mar-08,416031,house,3
30-Jun-08,419628,house,3
30-Sep-08,423811,house,3
31-Dec-08,426488,house,3
31-Mar-09,437724,house,3
30-Jun-09,444351,house,3
30-Sep-09,449742,house,3
31-Dec-09,457394,house,3
31-Mar-10,466433,house,3
30-Jun-10,474590,house,3
30-Sep-10,483176,house,3
31-Dec-10,491715,house,3
31-Mar-11,498022,house,3
30-Jun-11,503891,house,3
30-Sep-11,507090,house,3
31-Dec-11,507744,house,3
31-Mar-12,507449,house,3
30-Jun-12,507014,house,3
30-Sep-12,506615,house,3
31-Dec-12,506615,house,3
31-Mar-13,506380,house,3
30-Jun-13,505739,house,3
30-Sep-13,505823,house,3
31-Dec-13,506406,house,3
31-Mar-14,508499,house,3
30-Jun-14,512374,house,3
30-Sep-14,516618,house,3
31-Dec-14,522103,house,3
31-Mar-15,528926,house,3
30-Jun-15,534927,house,3
30-Sep-15,542051,house,3
31-Dec-15,549278,house,3
31-Mar-16,556586,house,3
30-Jun-16,564267,house,3
30-Sep-16,572582,house,3
31-Dec-16,581485,house,3
31-Mar-17,590949,house,3
30-Jun-17,601041,house,3
30-Sep-17,609355,house,3
31-Dec-17,615743,house,3
31-Mar-18,619638,house,3
30-Jun-18,622466,house,3
30-Sep-18,624602,house,3
31-Dec-18,626608,house,3
31-Mar-19,628423,house,3
30-Jun-19,630814,house,3
30-Sep-19,631875,house,3
31-Mar-07,548969,house,4
30-Jun-07,548969,house,4
30-Sep-07,548969,house,4
31-Dec-07,548969,house,4
31-Mar-08,552484,house,4
30-Jun-08,559580,house,4
30-Sep-08,561852,house,4
31-Dec-08,565467,house,4
31-Mar-09,569682,house,4
30-Jun-09,574680,house,4
30-Sep-09,579369,house,4
31-Dec-09,588379,house,4
31-Mar-10,599614,house,4
30-Jun-10,608528,house,4
30-Sep-10,615603,house,4
31-Dec-10,623105,house,4
31-Mar-11,628969,house,4
30-Jun-11,634155,house,4
30-Sep-11,636582,house,4
31-Dec-11,637421,house,4
31-Mar-12,635411,house,4
30-Jun-12,633695,house,4
30-Sep-12,634803,house,4
31-Dec-12,633875,house,4
31-Mar-13,634229,house,4
30-Jun-13,635515,house,4
30-Sep-13,636687,house,4
31-Dec-13,641125,house,4
31-Mar-14,648174,house,4
30-Jun-14,655757,house,4
30-Sep-14,664635,house,4
31-Dec-14,673762,house,4
31-Mar-15,684006,house,4
30-Jun-15,694800,house,4
30-Sep-15,706711,house,4
31-Dec-15,718261,house,4
31-Mar-16,727736,house,4
30-Jun-16,737159,house,4
30-Sep-16,745430,house,4
31-Dec-16,755683,house,4
31-Mar-17,771216,house,4
30-Jun-17,789732,house,4
30-Sep-17,810694,house,4
31-Dec-17,828058,house,4
31-Mar-18,836056,house,4
30-Jun-18,837295,house,4
30-Sep-18,830727,house,4
31-Dec-18,820924,house,4
31-Mar-19,811121,house,4
30-Jun-19,803925,house,4
30-Sep-19,791446,house,4
30-Sep-07,735904,house,5
31-Dec-07,735904,house,5
31-Mar-08,735904,house,5
30-Jun-08,735904,house,5
30-Sep-08,758340,house,5
31-Dec-08,764025,house,5
31-Mar-09,770046,house,5
30-Jun-09,765555,house,5
30-Sep-09,765515,house,5
31-Dec-09,771280,house,5
31-Mar-10,773355,house,5
30-Jun-10,776325,house,5
30-Sep-10,772699,house,5
31-Dec-10,775199,house,5
31-Mar-11,778470,house,5
30-Jun-11,789627,house,5
30-Sep-11,789614,house,5
31-Dec-11,790965,house,5
31-Mar-12,794533,house,5
30-Jun-12,792171,house,5
30-Sep-12,800432,house,5
31-Dec-12,804474,house,5
31-Mar-13,807826,house,5
30-Jun-13,812224,house,5
30-Sep-13,805066,house,5
31-Dec-13,805682,house,5
31-Mar-14,811908,house,5
30-Jun-14,820368,house,5
30-Sep-14,843904,house,5
31-Dec-14,855039,house,5
31-Mar-15,866489,house,5
30-Jun-15,880625,house,5
30-Sep-15,891981,house,5
31-Dec-15,909131,house,5
31-Mar-16,923594,house,5
30-Jun-16,933589,house,5
30-Sep-16,952327,house,5
31-Dec-16,968331,house,5
31-Mar-17,980953,house,5
30-Jun-17,995349,house,5
30-Sep-17,1004117,house,5
31-Dec-17,1010848,house,5
31-Mar-18,1015529,house,5
30-Jun-18,1017752,house,5
30-Sep-18,1007114,house,5
31-Dec-18,1002323,house,5
31-Mar-19,998136,house,5
30-Jun-19,995363,house,5
30-Sep-19,970268,house,5
31-Dec-07,326076,unit,1
31-Mar-08,326076,unit,1
30-Jun-08,326076,unit,1
30-Sep-08,326076,unit,1
31-Dec-08,327321,unit,1
31-Mar-09,324712,unit,1
30-Jun-09,323556,unit,1
30-Sep-09,318922,unit,1
31-Dec-09,316914,unit,1
31-Mar-10,316751,unit,1
30-Jun-10,317711,unit,1
30-Sep-10,318695,unit,1
31-Dec-10,324778,unit,1
31-Mar-11,329856,unit,1
30-Jun-11,333049,unit,1
30-Sep-11,337144,unit,1
31-Dec-11,337400,unit,1
31-Mar-12,339125,unit,1
30-Jun-12,341807,unit,1
30-Sep-12,344793,unit,1
31-Dec-12,347754,unit,1
31-Mar-13,348491,unit,1
30-Jun-13,348512,unit,1
30-Sep-13,347962,unit,1
31-Dec-13,345573,unit,1
31-Mar-14,343298,unit,1
30-Jun-14,341289,unit,1
30-Sep-14,338293,unit,1
31-Dec-14,336520,unit,1
31-Mar-15,334488,unit,1
30-Jun-15,332703,unit,1
30-Sep-15,330278,unit,1
31-Dec-15,328300,unit,1
31-Mar-16,326476,unit,1
30-Jun-16,324725,unit,1
30-Sep-16,325127,unit,1
31-Dec-16,325521,unit,1
31-Mar-17,327870,unit,1
30-Jun-17,330319,unit,1
30-Sep-17,332481,unit,1
31-Dec-17,334804,unit,1
31-Mar-18,336637,unit,1
30-Jun-18,338105,unit,1
30-Sep-18,339220,unit,1
31-Dec-18,339350,unit,1
31-Mar-19,337838,unit,1
30-Jun-19,336551,unit,1
30-Sep-19,335449,unit,1
30-Jun-07,368817,unit,2
30-Sep-07,368817,unit,2
31-Dec-07,368817,unit,2
31-Mar-08,368817,unit,2
30-Jun-08,373482,unit,2
30-Sep-08,377481,unit,2
31-Dec-08,382010,unit,2
31-Mar-09,380810,unit,2
30-Jun-09,385791,unit,2
30-Sep-09,391161,unit,2
31-Dec-09,396448,unit,2
31-Mar-10,402898,unit,2
30-Jun-10,408608,unit,2
30-Sep-10,412509,unit,2
31-Dec-10,415991,unit,2
31-Mar-11,417970,unit,2
30-Jun-11,419777,unit,2
30-Sep-11,421158,unit,2
31-Dec-11,423144,unit,2
31-Mar-12,424673,unit,2
30-Jun-12,424249,unit,2
30-Sep-12,425453,unit,2
31-Dec-12,425922,unit,2
31-Mar-13,425751,unit,2
30-Jun-13,426621,unit,2
30-Sep-13,428398,unit,2
31-Dec-13,428365,unit,2
31-Mar-14,429283,unit,2
30-Jun-14,429361,unit,2
30-Sep-14,428911,unit,2
31-Dec-14,429832,unit,2
31-Mar-15,431567,unit,2
30-Jun-15,432730,unit,2
30-Sep-15,432791,unit,2
31-Dec-15,432801,unit,2
31-Mar-16,431418,unit,2
30-Jun-16,430880,unit,2
30-Sep-16,430654,unit,2
31-Dec-16,430308,unit,2
31-Mar-17,429897,unit,2
30-Jun-17,429059,unit,2
30-Sep-17,428878,unit,2
31-Dec-17,428532,unit,2
31-Mar-18,427856,unit,2
30-Jun-18,427623,unit,2
30-Sep-18,426970,unit,2
31-Dec-18,426936,unit,2
31-Mar-19,426669,unit,2
30-Jun-19,425659,unit,2
30-Sep-19,424412,unit,2
30-Sep-07,518911,unit,3
31-Dec-07,518911,unit,3
31-Mar-08,518911,unit,3
30-Jun-08,518911,unit,3
30-Sep-08,518911,unit,3
31-Dec-08,518911,unit,3
31-Mar-09,518911,unit,3
30-Jun-09,518911,unit,3
30-Sep-09,523285,unit,3
31-Dec-09,522862,unit,3
31-Mar-10,524008,unit,3
30-Jun-10,535063,unit,3
30-Sep-10,538694,unit,3
31-Dec-10,555117,unit,3
31-Mar-11,550851,unit,3
30-Jun-11,547981,unit,3
30-Sep-11,539828,unit,3
31-Dec-11,530987,unit,3
31-Mar-12,540344,unit,3
30-Jun-12,537592,unit,3
30-Sep-12,548326,unit,3
31-Dec-12,555644,unit,3
31-Mar-13,566706,unit,3
30-Jun-13,580696,unit,3
30-Sep-13,581428,unit,3
31-Dec-13,586470,unit,3
31-Mar-14,583883,unit,3
30-Jun-14,583370,unit,3
30-Sep-14,598512,unit,3
31-Dec-14,598812,unit,3
31-Mar-15,599507,unit,3
30-Jun-15,602877,unit,3
30-Sep-15,603343,unit,3
31-Dec-15,612295,unit,3
31-Mar-16,617363,unit,3
30-Jun-16,622045,unit,3
30-Sep-16,616198,unit,3
31-Dec-16,610618,unit,3
31-Mar-17,606935,unit,3
30-Jun-17,605273,unit,3
30-Sep-17,606850,unit,3
31-Dec-17,604413,unit,3
31-Mar-18,604293,unit,3
30-Jun-18,603434,unit,3
30-Sep-18,603281,unit,3
31-Dec-18,601167,unit,3
31-Mar-19,605637,unit,3
30-Jun-19,599339,unit,3
30-Sep-19,597884,unit,3
